title,content
Uluru  Flights suspended after Indigenous community forms park blockade fearing Covid-19 risk ,"Flights to Uluru have been suspended after the Mutitjulu Aboriginal community, worried about the risk to locals from visitors flying in from interstate Covid-19 hotspots, blockaded the gates to the park. The 39 tourists who arrived at the Yulara resort on Saturday on a Jetstar flight will now be flown back to Brisbane. The blockade, by the Mutitjulu Community Aboriginal Corporation (MCAC) forced Parks Australia to close the gates before they met with the Yulara resort managers, Voyages, the Mutitjulu community and traditional owners in an effort to resolve the standoff. The blockade followed the arrival of a Jetstar flight from Brisbane on Saturday with 42 passengers on board. Brisbane was declared a coronavirus hotspot on Friday evening. On arrival, under the Northern Territory’s strict Covid regulations, three passengers were taken to Alice Springs for mandatory quarantine, but the other 39 passengers were taken to the Yulara resort. Members of the Mutitjulu community said they would maintain the blockade at the gates of Uluru-Kata Tjuta national park until the 39 visitors were tested for Covid-19 and given the all-clear. “People are just sitting here, waiting to hear whether the people currently at the Yulara resort will get tested,” the MCAC chief executive, Thalia Bohl-van den Boogaard, said. “We are just waiting for confirmation that testing can be done, then the park can reopen.” But the Voyages resort chief executive, Grant Hunt, later said the guests who were currently at Yulara would be flown home on Thursday. “As we have now agreed to arrange for those guests to depart by Thursday, there is not enough time to undertake Covid testing and get results,” Hunt said. “The park will at this stage stay closed so none of those guests will have entered the park during their stay. “Voyages understands the community’s concerns and will continue to work collaboratively with the NT government, Parks Australia and the Mutitjulu Community Aboriginal Corporation to ensure all necessary precautions are being undertaken to protect the local community.” Jetstar confirmed Thursday’s flight from Brisbane to collect the tourists would be the last to Uluru for some time. A spokesman said the small number of affected customers who had booked to travel would be contacted and offered options. Flights between Brisbane and Uluru are part of the federal government’s minimum “viable network” to keep communities connected and deliver medical supplies and mail, he said. The NT opened its borders to interstate travellers on 17 July provided they do not come from a Covid hotspot. People who arrive at Uluru by road who meet this criteria are welcome, Bohl-van den Boogard said. Under the NT’s border regulations, anyone who has been to a declared Covid-19 hotspot – which includes Victoria, Sydney and Brisbane – must do 14 days mandatory supervised quarantine on arrival. “There will be no more planes landing in Yulara from Covid hotspots,” MCAC CEO, Thalia Bohl-van den Boogaard said. The Aboriginal community of Mutitjulu is inside the park and has expressed concern in the past about the vulnerability of community members – considered some of the people most at risk of the worst outcomes from contracting the virus – who frequently visit the Yulara resort to shop and for their medical needs. Last week, MCAC called for the closure of Yulara airport and the suspension of flights which it said pose an unacceptable health risk to the community. “Those people who want to fly here should just not come because we don’t want that pika (sickness) here,” MCAC chair Gloria Moneymoon said in a statement. MCAC director Craig Woods said flights to Yulara defeated the purpose of keeping people from hotspots contained. “People’s lives are more important than money,” Woods said. The chair of the Uluru-Kata Tjuta national park board of management, Sidney James, said Voyages and the Northern Territory government needed to “slow down and work together with Anangu and Parks Australia”. “This is Anangu land and lives,” James said. A Parks Australia spokesperson said Uluru-Kata Tjuta will remain closed “until traditional owners are comfortable with the travel measures put in place by the Northern Territory government and Voyages Indigenous Tourism Australia”."
Uluru  Flights suspended after Indigenous community forms park blockade fearing Covid-19 risk ,"Flights to Uluru have been suspended after the Mutitjulu Aboriginal community, worried about the risk to locals from visitors flying in from interstate Covid-19 hotspots, blockaded the gates to the park. The 39 tourists who arrived at the Yulara resort on Saturday on a Jetstar flight will now be flown back to Brisbane. The blockade, by the Mutitjulu Community Aboriginal Corporation (MCAC) forced Parks Australia to close the gates before they met with the Yulara resort managers, Voyages, the Mutitjulu community and traditional owners in an effort to resolve the standoff. The blockade followed the arrival of a Jetstar flight from Brisbane on Saturday with 42 passengers on board. Brisbane was declared a coronavirus hotspot on Friday evening. On arrival, under the Northern Territory’s strict Covid regulations, three passengers were taken to Alice Springs for mandatory quarantine, but the other 39 passengers were taken to the Yulara resort. Members of the Mutitjulu community said they would maintain the blockade at the gates of Uluru-Kata Tjuta national park until the 39 visitors were tested for Covid-19 and given the all-clear. “People are just sitting here, waiting to hear whether the people currently at the Yulara resort will get tested,” the MCAC chief executive, Thalia Bohl-van den Boogaard, said. “We are just waiting for confirmation that testing can be done, then the park can reopen.” But the Voyages resort chief executive, Grant Hunt, later said the guests who were currently at Yulara would be flown home on Thursday. “As we have now agreed to arrange for those guests to depart by Thursday, there is not enough time to undertake Covid testing and get results,” Hunt said. “The park will at this stage stay closed so none of those guests will have entered the park during their stay. “Voyages understands the community’s concerns and will continue to work collaboratively with the NT government, Parks Australia and the Mutitjulu Community Aboriginal Corporation to ensure all necessary precautions are being undertaken to protect the local community.” Jetstar confirmed Thursday’s flight from Brisbane to collect the tourists would be the last to Uluru for some time. A spokesman said the small number of affected customers who had booked to travel would be contacted and offered options. Flights between Brisbane and Uluru are part of the federal government’s minimum “viable network” to keep communities connected and deliver medical supplies and mail, he said. The NT opened its borders to interstate travellers on 17 July provided they do not come from a Covid hotspot. People who arrive at Uluru by road who meet this criteria are welcome, Bohl-van den Boogard said. Under the NT’s border regulations, anyone who has been to a declared Covid-19 hotspot – which includes Victoria, Sydney and Brisbane – must do 14 days mandatory supervised quarantine on arrival. “There will be no more planes landing in Yulara from Covid hotspots,” MCAC CEO, Thalia Bohl-van den Boogaard said. The Aboriginal community of Mutitjulu is inside the park and has expressed concern in the past about the vulnerability of community members – considered some of the people most at risk of the worst outcomes from contracting the virus – who frequently visit the Yulara resort to shop and for their medical needs. Last week, MCAC called for the closure of Yulara airport and the suspension of flights which it said pose an unacceptable health risk to the community. “Those people who want to fly here should just not come because we don’t want that pika (sickness) here,” MCAC chair Gloria Moneymoon said in a statement. MCAC director Craig Woods said flights to Yulara defeated the purpose of keeping people from hotspots contained. “People’s lives are more important than money,” Woods said. The chair of the Uluru-Kata Tjuta national park board of management, Sidney James, said Voyages and the Northern Territory government needed to “slow down and work together with Anangu and Parks Australia”. “This is Anangu land and lives,” James said. A Parks Australia spokesperson said Uluru-Kata Tjuta will remain closed “until traditional owners are comfortable with the travel measures put in place by the Northern Territory government and Voyages Indigenous Tourism Australia”."
Melbourne  Police officer allegedly brutally bashed by anti-masker ,"A Victoria police officer allegedly had her head repeatedly bashed into concrete by a woman who police say refused to wear a mask in line with coronavirus rules. The 26-year-old officer and her partner approached a woman about 5pm on Monday at a Frankston shopping centre who was not wearing a mask and the confrontation turned violent, the chief commissioner, Shane Patton, said. “They approached a 38-year-old woman, who wasn’t wearing a mask. After a confrontation and being assaulted by that woman, those police officers went to ground and there was a scuffle,” he told reporters on Tuesday. “This 38-year-old woman smashed the head of the policewoman several times into a concrete area on the ground. The woman was taken to a police station, charged with assaulting police, recklessly causing injury, two counts of assaulting an emergency worker, two counts of resisting an emergency worker on duty and refusing to state her name and address. She was also fined $200 for not wearing a mask and bailed due to no criminal history. The police officer received significant head injuries and was taken to the Frankston hospital for assessment and medical treatment. Victoria police issued 161 fines on Monday to people flouting coronavirus restrictions, including 60 people who were not wearing masks. There were nine fines issued at vehicle checkpoints, with 22,091 checks carried out. Patton said on at least four occasions in the past week, police had to smash car windows and pull people out because they were refusing to provide personal details in line with public health guidelines. Other people fined on Monday include someone trying to buy a car after the 8pm curfew and another who was bored and wanted to go for a drive. Police conducted 6,033 spot checks on people at homes, businesses and public places in the past 24 hours across Victoria."
Melbourne  Police officer allegedly brutally bashed by anti-masker ,"A Victoria police officer allegedly had her head repeatedly bashed into concrete by a woman who police say refused to wear a mask in line with coronavirus rules. The 26-year-old officer and her partner approached a woman about 5pm on Monday at a Frankston shopping centre who was not wearing a mask and the confrontation turned violent, the chief commissioner, Shane Patton, said. “They approached a 38-year-old woman, who wasn’t wearing a mask. After a confrontation and being assaulted by that woman, those police officers went to ground and there was a scuffle,” he told reporters on Tuesday. “This 38-year-old woman smashed the head of the policewoman several times into a concrete area on the ground. The woman was taken to a police station, charged with assaulting police, recklessly causing injury, two counts of assaulting an emergency worker, two counts of resisting an emergency worker on duty and refusing to state her name and address. She was also fined $200 for not wearing a mask and bailed due to no criminal history. The police officer received significant head injuries and was taken to the Frankston hospital for assessment and medical treatment. Victoria police issued 161 fines on Monday to people flouting coronavirus restrictions, including 60 people who were not wearing masks. There were nine fines issued at vehicle checkpoints, with 22,091 checks carried out. Patton said on at least four occasions in the past week, police had to smash car windows and pull people out because they were refusing to provide personal details in line with public health guidelines. Other people fined on Monday include someone trying to buy a car after the 8pm curfew and another who was bored and wanted to go for a drive. Police conducted 6,033 spot checks on people at homes, businesses and public places in the past 24 hours across Victoria."
Coronavirus live news: UN warns of 'catastrophe' over school closures; France says second wave likely,"A World Health Organization (WHO) team in China to probe the origins of Covid-19 had “extensive discussions” and exchanges with scientists in Wuhan where the outbreak was first detected, a spokesperson for the global health organisation has said. The talks included updates on animal health research, he said. China shut down a wildlife market in Wuhan at the start of the outbreak, a day after discovering some patients were vendors or dealers. The WHO says the virus most likely came from bats and probably had another, intermediary animal “host”. The results of the WHO investigation are keenly awaited by scientists and governments around the world, none more so than Washington, which lobbied hard for the mission.
“The team had extensive discussions with Chinese counterparts and received updates on epidemiological studies, biologic and genetic analysis and animal health research,” Christian Lindmeier told reporters, saying these included video discussions with Wuhan virologists and scienti"
Germany football league 'ready' for fans to return,"Germany’s football league is ready for fans to return to the Bundesliga if authorities give the go-ahead, according to football officials. The league’s 36 professional clubs have decided on a uniform procedure for the possible return of some fans to the stadiums, Die Zeit reports. This includes a ban on alcohol, the temporary cancellation of ticket quotas for away fans and standing room, as well as the introduction of personalised tickets as a means of tracking infections. Christian Seifert, the CEO of the German football league, is taking part in a press conference now following an extraordinary meeting of clubs to discuss the measures."
Danish state epidemiologist advises against lockdown easing,"Denmark’s state epidemiologist on Tuesday said he could not recommend proceeding to the next phase of reopening society during the coronavirus outbreak, Danish media outlet Ingenioeren has reported. “It is not something that I can recommend from a healthcare perspective that you go ahead with,” Kare Molbak, director of Statens Serum Institut (the state serum institute) said according to Ingenioeren. The government and parliament are due to begin discussing the fourth phase of reopening, including nightclubs, this month. The weekly number of people infected with Covid-19 in Denmark has risen in the past couple of weeks."
Poland reports record daily increase for fourth time in a week,"Poland has reported record daily increase in coronavirus cases for the fourth time in a week, with more than a third of them found in the southern Silesia region, which has been grappling with another outbreak among coal miners. The latest tally of 680 new infections and six deaths comes as Poland considers introducing stricter restrictions, including mandatory testing for travellers returning to Poland and quarantine for those coming from certain countries. More than 220 cases were reported in Silesia, where a rapid spread of infections led to a temporary reduction of coal output and work in 12 mines in June."
Iran confirms highest single-day infections count,"Iran confirmed Tuesday over 2,700 new Covid-19 infections, its highest single-day count in more than a month, as the health ministry called for those without masks to be fined. Deaths and infections from the novel coronavirus have been on a rising trajectory in the Islamic republic since hitting a months-long low in May, reports AFP. This has prompted Iran to make wearing masks mandatory in enclosed spaces and reimpose restrictions lifted gradually since April to reopen the economy. Despite the rule, people without masks can still be seen inside the capitals’ shops and banks, and state television often criticises them for doing so. “In the past 24 hours, new confirmed cases were reported to be 2,751,” health ministry spokeswoman Sima Sadat Lari said in televised remarks. The number is the highest since June 5, when the ministry reported 2,886 infections in one day."
Coronavirus live news: UN warns of 'catastrophe' over school closures; France says second wave likely,"A World Health Organization (WHO) team in China to probe the origins of Covid-19 had “extensive discussions” and exchanges with scientists in Wuhan where the outbreak was first detected, a spokesperson for the global health organisation has said. The talks included updates on animal health research, he said. China shut down a wildlife market in Wuhan at the start of the outbreak, a day after discovering some patients were vendors or dealers. The WHO says the virus most likely came from bats and probably had another, intermediary animal “host”. The results of the WHO investigation are keenly awaited by scientists and governments around the world, none more so than Washington, which lobbied hard for the mission.
“The team had extensive discussions with Chinese counterparts and received updates on epidemiological studies, biologic and genetic analysis and animal health research,” Christian Lindmeier told reporters, saying these included video discussions with Wuhan virologists and scienti"
Germany football league 'ready' for fans to return,"Germany’s football league is ready for fans to return to the Bundesliga if authorities give the go-ahead, according to football officials. The league’s 36 professional clubs have decided on a uniform procedure for the possible return of some fans to the stadiums, Die Zeit reports. This includes a ban on alcohol, the temporary cancellation of ticket quotas for away fans and standing room, as well as the introduction of personalised tickets as a means of tracking infections. Christian Seifert, the CEO of the German football league, is taking part in a press conference now following an extraordinary meeting of clubs to discuss the measures."
Danish state epidemiologist advises against lockdown easing,"Denmark’s state epidemiologist on Tuesday said he could not recommend proceeding to the next phase of reopening society during the coronavirus outbreak, Danish media outlet Ingenioeren has reported. “It is not something that I can recommend from a healthcare perspective that you go ahead with,” Kare Molbak, director of Statens Serum Institut (the state serum institute) said according to Ingenioeren. The government and parliament are due to begin discussing the fourth phase of reopening, including nightclubs, this month. The weekly number of people infected with Covid-19 in Denmark has risen in the past couple of weeks."
Poland reports record daily increase for fourth time in a week,"Poland has reported record daily increase in coronavirus cases for the fourth time in a week, with more than a third of them found in the southern Silesia region, which has been grappling with another outbreak among coal miners. The latest tally of 680 new infections and six deaths comes as Poland considers introducing stricter restrictions, including mandatory testing for travellers returning to Poland and quarantine for those coming from certain countries. More than 220 cases were reported in Silesia, where a rapid spread of infections led to a temporary reduction of coal output and work in 12 mines in June."
Iran confirms highest single-day infections count,"Iran confirmed Tuesday over 2,700 new Covid-19 infections, its highest single-day count in more than a month, as the health ministry called for those without masks to be fined. Deaths and infections from the novel coronavirus have been on a rising trajectory in the Islamic republic since hitting a months-long low in May, reports AFP. This has prompted Iran to make wearing masks mandatory in enclosed spaces and reimpose restrictions lifted gradually since April to reopen the economy. Despite the rule, people without masks can still be seen inside the capitals’ shops and banks, and state television often criticises them for doing so. “In the past 24 hours, new confirmed cases were reported to be 2,751,” health ministry spokeswoman Sima Sadat Lari said in televised remarks. The number is the highest since June 5, when the ministry reported 2,886 infections in one day."
Superannuation  Paul Keating attacks Covid-19 withdrawal scheme as unfair burden on young ,"Paul Keating has lashed the Morrison government’s decision to allow people to draw down on their superannuation due to the coronavirus crisis, saying that the decision forced young people to bear the brunt of bailing out the economy and robbed them of their retirement income. Speaking at an industry super event on Tuesday, the former prime minister and architect of Australia’s super system also attacked the legitimacy of a Treasury inquiry into retirement income and slammed “baby-faced” government backbenchers who have been campaigning against an increase to employer contributions. Rules announced in March by the treasurer, Josh Frydenberg, allowed workers hit by the crisis to draw as much as $20,000 from their super – a move that funds say has resulted in hundreds of thousands of people, many of them young, completely draining their accounts. “Of the income support in Australia to date, in this Covid emergency, $32bn has been found and paid for by the most vulnerable, lowest-paid people in the country – that’s the people who’ve taken the $20,000 out – and $30bn has been provided by the commonwealth under jobseeker and jobkeeper,” Keating said. “The main burden of income support is people ratting their own savings to the tune of where now 600,000 young people, broadly young people under 35, have no superannuation accounts at all now. “They lose all the compounding – the $20,000 would have multiplied itself by five and a half or six times over their lifetime, so it’s been a very poor choice to them.” He said the burden fell on young people who were already in a worse situation than previous generations because they had not had the benefit of a pay rise since 2013, were saddled with Hecs debts and had to pay GST and rent. “Now their pool of savings has been lost to them when in fact it should have been public support from the get-go,” he said. Keating repeated his support for increasing employer contributions, known as the “super guarantee”, by half a percentage point a year, bringing the current rate of 9.5% up to 12% by 2025. He dismissed the idea employers could not afford the increase, saying they had banked almost 10% reaped from the increased productivity of workers since 2013, without handing any back as pay rises. “What we’re saying is, there’s 10% labour productivity banked on the balance sheets of companies, we’re asking for a quarter of it back.” He said “so-called economic commentators” made similar arguments that increasing the rate was unaffordable when the guarantee was increased by a point a year in the early 1990s, as Australia emerged from recession. “Well of course the SG was completely affordable, we had the profit share in the economy rising, as we did the wage share,” he said. He said that at half a percentage point a year, the currently legislated increase was far smaller than wage rises handed out to low-income workers by the industrial umpire. “In the blink of an eye you’d miss it,” he said. “It’s so completely affordable.” Increasing the rate is currently both government policy and the law, but the idea has been under heavy attack from a group of government backbenchers, as well as the business lobby. “It is L-A-W and that is good,” Keating said – a reference to tax cuts he legislated before the 1993 election but repealed after winning another term in government. “There’s no economic case for it not to go ahead, none.” He said the argument against was being run by “these first-term senators, who are a particularly modest form of political life”. “But they’re out there, commanding a half-page every time they want to in the Financial Review or the Sydney Morning Herald, or the Age, the old Fairfax papers.” He said business opponents of industry super were “the establishment seeking to keep the existing order of board management through a group of non-executive directors” and were supported by some in the media. Non-executive directors got “a very bad reference” from the banking royal commission, he said. “Now, the Financial Review, which has run the case against industry funds, and its editor, Michael Stutchbury, he’s happy with the status quo. He has these soirees every month where all the non-executive directors turn up. “We don’t want any reform of the capital system, we want a sub-performing stock market, sub-performing economies, and if an industry fund says, ‘Look, we might buy … 20% of Boral or 18% of BHP because we want to improve, we want a board position and we want to improve the performance of the company on a long-term basis for our members,’ some members of the Liberal party regard this as shocking, but not just them but the whole defensive media structure of the Financial Review variety.” “Stutchbury wants to remain king of the kids, he’s got the non-executive directors turning up once a month, he gives them a cup of tea and a scone. “This sort of low-grade, modest-grade corporate performance by these non-executive directors is promoted by Australia’s principal financial newspaper.” He said that while many aspects of the super system needed to be looked into, Treasury’s retirement income review had no mandate to examine whether raising the guarantee rate was a good idea. This was because the question of the rate increase had been picked up from a previous Productivity Commission inquiry that examined the issue even though it was not in its terms of reference. “There’s an illegitimacy from the get-go about the retirement income review looking at the 12% because the parliament has already decided on the 12%,” he said."
Aged care  Minister refuses to name Victoria nursing homes battling Covid-19 due to 'reputational' fears ,"The federal aged care minister and officials from the health department have refused to publicly release a list of aged care facilities in Victoria battling outbreaks of coronavirus because the homes are worried about “reputational issues” and could be overwhelmed by media interest. Officials have also told a Senate committee examining the Morrison government’s handling of the Covid-19 pandemic that Canberra was unaware of the looming crisis at the St Basil’s Home for the Aged in Fawkner in Melbourne’s north for five days because the facility didn’t report the infections. Both the aged care minister, Richard Colbeck, and the former chief medical officer who is now secretary of the health department, Prof Brendan Murphy, faced questions on Tuesday about the escalating coronavirus crisis in aged care in Victoria, and whether the federal government had been sufficiently attentive to managing the risks. The Greens senator, Rachel Siewert, asked for a list of facilities in Victoria currently battling outbreaks, but the request was rebuffed by Murphy. He said the department was happy to supply that list to the committee on a confidential basis but not publicly because “some of the facilities don’t want it publicly known”. “Many of them have been open about it, and it has been in the media, but some of them have had just one staff member [infected] and the facility has been locked down and it’s been controlled and they are obviously worried about reputational issues,” Murphy said. After Siewert objected to the lack of public disclosure, Colbeck backed the secretary’s judgment. He said family members of residents in aged care in Victoria had been informed when there were outbreaks in facilities but he was “reluctant to have a public hit list”. The minister told the committee he was concerned about increasing the stress on facilities through public disclosure. Colbeck said smaller facilities were not in a position to “handle a big media influx”. Colbeck and the officials faced combative questioning from Labor, Greens and crossbench senators at the hearing about how the aged care crisis in Victoria had spiralled during July. Aged care is funded and regulated by the commonwealth. While Colbeck said he wasn’t intending to blame Victoria, he said the public health response in the state became swamped during the second wave of infections which resulted in high levels of community transmission. The minister said the crisis in aged care was a function of the high levels of community transmission because staff were coming to work when they were infected but asymptomatic, and passing the virus on to colleagues and vulnerable residents. Murphy said federal officials were not informed for five days about the outbreak in St Basil’s. “It wasn’t on our radar,” he said. Murphy also speculated that the chief health officer in Victoria may not have known there was a serious outbreak in St Basil’s until 14 July, because contact tracers were swamped with new cases. He also told the committee the Victorian government stopped using the Covidsafe app for contact tracing “for a period of time … because they were so pressured” and they hadn’t found value in it during the first wave. But, he said, the app was being used again now. Colbeck was pressed about whether the Morrison government had been sufficiently proactive in the aged care sector, or whether it was reacting to crises once they presented themselves. The minister said the government had put protocols in place in aged care from the beginning of the pandemic, but “new circumstances have evolved, and appropriately, we’ve reacted to those”. Colbeck said the government’s approach should not be “static”. Officials told the committee that as of Monday morning, 97 Victorian aged care facilities were affected in the second wave, with 657 residents and 594 staff infected. A further 25 home care services for the elderly were also impacted. Seventeen recipients of these services were infected, and 24 staff working in home care. There had been 108 fatalities. On Tuesday afternoon the deputy chief medical officer Dr Nick Coatsworth told reporters the Victorian Aged Care Response Centre, announced in July to bring together commonwealth and state government agencies, was working. “The care that [residents] are getting is exactly the standards that we would all expect for our parents or relatives in aged care facilities,” he said. But Coatsworth said infection control training for aged care workers needed to be increased. “We will be working hard to review the training, I reviewed it myself last week,” he said. “It is absolutely essential that adequate PPE [personal protective equipment] training is provided to aged care staff. This is not just a responsibility of government, of course. But a knowledge about how to practise basic infection control is something that all providers need to consider.”"
